species1,species2,Trait Difference,Trait CI1,Trait CI2
Propithecus_coquereli,Leontopithecus_rosalia,0.024,[0.01-0.21],[0.02-0.11]
Saguinus_bicolor,Leontopithecus_rosalia,0.016,[0.00-0.15],[0.02-0.11]
Saguinus_imperator,Leontopithecus_rosalia,0.056,[0.00-0.05],[0.02-0.11]
Saguinus_midas,Leontopithecus_rosalia,0.056,[0.00-0.08],[0.02-0.11]
Saguinus_oedipus,Leontopithecus_rosalia,0.019,[0.04-0.12],[0.02-0.11]
Saimiri_sciureus,Leontopithecus_rosalia,0.004,[0.02-0.10],[0.02-0.11]
Sapajus_apella,Leontopithecus_rosalia,0.056,[0.00-0.07],[0.02-0.11]
Theropithecus_gelada,Leontopithecus_rosalia,0.036,[0.00-0.07],[0.02-0.11]
Trachypithecus_auratus,Leontopithecus_rosalia,0.019,[0.00-0.14],[0.02-0.11]
Trachypithecus_cristatus,Leontopithecus_rosalia,0.056,[0.00-0.07],[0.02-0.11]
Trachypithecus_francoisi,Leontopithecus_rosalia,0.044,[0.02-0.22],[0.02-0.11]
Varecia_rubra,Leontopithecus_rosalia,0.08,[0.06-0.23],[0.02-0.11]
Varecia_variegata,Leontopithecus_rosalia,0.115,[0.09-0.26],[0.02-0.11]
Alouatta_caraya,Macaca_fascicularis,0.031,[0.00-0.12],[0.00-0.05]
Ateles_geoffroyi,Macaca_fascicularis,0.186,[0.08-0.31],[0.00-0.05]
Callimico_goeldii,Macaca_fascicularis,0.101,[0.04-0.18],[0.00-0.05]
Callithrix_geoffroyi,Macaca_fascicularis,0.032,[0.00-0.12],[0.00-0.05]
Callithrix_jacchus,Macaca_fascicularis,0.024,[0.00-0.09],[0.00-0.05]
Cebuella_pygmaea,Macaca_fascicularis,0.049,[0.00-0.13],[0.00-0.05]
Cercopithecus_neglectus,Macaca_fascicularis,0.036,[0.00-0.13],[0.00-0.05]
Colobus_guereza,Macaca_fascicularis,0.041,[0.01-0.09],[0.00-0.05]
Eulemur_macaco,Macaca_fascicularis,0.2,[0.08-0.35],[0.00-0.05]
Galago_moholi,Macaca_fascicularis,0.062,[0.01-0.16],[0.00-0.05]
Galago_senegalensis,Macaca_fascicularis,0.015,[0.00-0.06],[0.00-0.05]
Gorilla_gorilla,Macaca_fascicularis,0.03,[0.00-0.08],[0.00-0.05]
Hylobates_lar,Macaca_fascicularis,0.159,[0.07-0.28],[0.00-0.05]
Lemur_catta,Macaca_fascicularis,0.131,[0.09-0.18],[0.00-0.05]
Leontopithecus_chrysomelas,Macaca_fascicularis,0.118,[0.04-0.22],[0.00-0.05]
Leontopithecus_rosalia,Macaca_fascicularis,0.056,[0.02-0.11],[0.00-0.05]
Macaca_fascicularis,Macaca_fascicularis,0,[0.00-0.05],[0.00-0.05]
Macaca_fuscata,Macaca_fascicularis,0.023,[0.00-0.09],[0.00-0.05]
Macaca_nigra,Macaca_fascicularis,0.028,[0.00-0.10],[0.00-0.05]
Macaca_silenus,Macaca_fascicularis,0.029,[0.00-0.08],[0.00-0.05]
Mandrillus_sphinx,Macaca_fascicularis,0.044,[0.00-0.12],[0.00-0.05]
Mico_argentatus,Macaca_fascicularis,0,[0.00-0.09],[0.00-0.05]
Microcebus_murinus,Macaca_fascicularis,0.246,[0.14-0.36],[0.00-0.05]
Nycticebus_coucang,Macaca_fascicularis,0.083,[0.01-0.22],[0.00-0.05]
Nycticebus_pygmaeus,Macaca_fascicularis,0.224,[0.12-0.35],[0.00-0.05]
Pan_troglodytes,Macaca_fascicularis,0.011,[0.00-0.04],[0.00-0.05]
Papio_hamadryas,Macaca_fascicularis,0.01,[0.00-0.04],[0.00-0.05]
Propithecus_coquereli,Macaca_fascicularis,0.08,[0.01-0.21],[0.00-0.05]
Saguinus_bicolor,Macaca_fascicularis,0.04,[0.00-0.15],[0.00-0.05]
Saguinus_imperator,Macaca_fascicularis,0,[0.00-0.05],[0.00-0.05]
Saguinus_midas,Macaca_fascicularis,0,[0.00-0.08],[0.00-0.05]
Saguinus_oedipus,Macaca_fascicularis,0.075,[0.04-0.12],[0.00-0.05]
Saimiri_sciureus,Macaca_fascicularis,0.052,[0.02-0.10],[0.00-0.05]
Sapajus_apella,Macaca_fascicularis,0,[0.00-0.07],[0.00-0.05]
Theropithecus_gelada,Macaca_fascicularis,0.019,[0.00-0.07],[0.00-0.05]
Trachypithecus_auratus,Macaca_fascicularis,0.037,[0.00-0.14],[0.00-0.05]
Trachypithecus_cristatus,Macaca_fascicularis,0,[0.00-0.07],[0.00-0.05]
Trachypithecus_francoisi,Macaca_fascicularis,0.1,[0.02-0.22],[0.00-0.05]
Varecia_rubra,Macaca_fascicularis,0.136,[0.06-0.23],[0.00-0.05]
Varecia_variegata,Macaca_fascicularis,0.171,[0.09-0.26],[0.00-0.05]
Alouatta_caraya,Macaca_fuscata,0.008,[0.00-0.12],[0.00-0.09]
Ateles_geoffroyi,Macaca_fuscata,0.163,[0.08-0.31],[0.00-0.09]
Callimico_goeldii,Macaca_fuscata,0.078,[0.04-0.18],[0.00-0.09]
Callithrix_geoffroyi,Macaca_fuscata,0.009,[0.00-0.12],[0.00-0.09]
Callithrix_jacchus,Macaca_fuscata,0.001,[0.00-0.09],[0.00-0.09]
Cebuella_pygmaea,Macaca_fuscata,0.026,[0.00-0.13],[0.00-0.09]
Cercopithecus_neglectus,Macaca_fuscata,0.012,[0.00-0.13],[0.00-0.09]
Colobus_guereza,Macaca_fuscata,0.018,[0.01-0.09],[0.00-0.09]
Eulemur_macaco,Macaca_fuscata,0.177,[0.08-0.35],[0.00-0.09]
Galago_moholi,Macaca_fuscata,0.039,[0.01-0.16],[0.00-0.09]
Galago_senegalensis,Macaca_fuscata,0.008,[0.00-0.06],[0.00-0.09]
Gorilla_gorilla,Macaca_fuscata,0.007,[0.00-0.08],[0.00-0.09]
Hylobates_lar,Macaca_fuscata,0.136,[0.07-0.28],[0.00-0.09]
Lemur_catta,Macaca_fuscata,0.108,[0.09-0.18],[0.00-0.09]
Leontopithecus_chrysomelas,Macaca_fuscata,0.094,[0.04-0.22],[0.00-0.09]
Leontopithecus_rosalia,Macaca_fuscata,0.032,[0.02-0.11],[0.00-0.09]
Macaca_fascicularis,Macaca_fuscata,0.023,[0.00-0.05],[0.00-0.09]
Macaca_fuscata,Macaca_fuscata,0,[0.00-0.09],[0.00-0.09]
Macaca_nigra,Macaca_fuscata,0.005,[0.00-0.10],[0.00-0.09]
Macaca_silenus,Macaca_fuscata,0.006,[0.00-0.08],[0.00-0.09]
Mandrillus_sphinx,Macaca_fuscata,0.021,[0.00-0.12],[0.00-0.09]
Mico_argentatus,Macaca_fuscata,0.023,[0.00-0.09],[0.00-0.09]
Microcebus_murinus,Macaca_fuscata,0.222,[0.14-0.36],[0.00-0.09]
Nycticebus_coucang,Macaca_fuscata,0.06,[0.01-0.22],[0.00-0.09]
Nycticebus_pygmaeus,Macaca_fuscata,0.201,[0.12-0.35],[0.00-0.09]
Pan_troglodytes,Macaca_fuscata,0.013,[0.00-0.04],[0.00-0.09]
Papio_hamadryas,Macaca_fuscata,0.014,[0.00-0.04],[0.00-0.09]
Propithecus_coquereli,Macaca_fuscata,0.057,[0.01-0.21],[0.00-0.09]
Saguinus_bicolor,Macaca_fuscata,0.017,[0.00-0.15],[0.00-0.09]
Saguinus_imperator,Macaca_fuscata,0.023,[0.00-0.05],[0.00-0.09]
Saguinus_midas,Macaca_fuscata,0.023,[0.00-0.08],[0.00-0.09]
Saguinus_oedipus,Macaca_fuscata,0.051,[0.04-0.12],[0.00-0.09]
Saimiri_sciureus,Macaca_fuscata,0.028,[0.02-0.10],[0.00-0.09]
Sapajus_apella,Macaca_fuscata,0.023,[0.00-0.07],[0.00-0.09]
Theropithecus_gelada,Macaca_fuscata,0.004,[0.00-0.07],[0.00-0.09]
Trachypithecus_auratus,Macaca_fuscata,0.014,[0.00-0.14],[0.00-0.09]
Trachypithecus_cristatus,Macaca_fuscata,0.023,[0.00-0.07],[0.00-0.09]
Trachypithecus_francoisi,Macaca_fuscata,0.077,[0.02-0.22],[0.00-0.09]
Varecia_rubra,Macaca_fuscata,0.112,[0.06-0.23],[0.00-0.09]
Varecia_variegata,Macaca_fuscata,0.148,[0.09-0.26],[0.00-0.09]
Alouatta_caraya,Macaca_nigra,0.003,[0.00-0.12],[0.00-0.10]
Ateles_geoffroyi,Macaca_nigra,0.158,[0.08-0.31],[0.00-0.10]
Callimico_goeldii,Macaca_nigra,0.074,[0.04-0.18],[0.00-0.10]
Callithrix_geoffroyi,Macaca_nigra,0.004,[0.00-0.12],[0.00-0.10]
Callithrix_jacchus,Macaca_nigra,0.003,[0.00-0.09],[0.00-0.10]
Cebuella_pygmaea,Macaca_nigra,0.021,[0.00-0.13],[0.00-0.10]
Cercopithecus_neglectus,Macaca_nigra,0.008,[0.00-0.13],[0.00-0.10]
Colobus_guereza,Macaca_nigra,0.013,[0.01-0.09],[0.00-0.10]
Eulemur_macaco,Macaca_nigra,0.172,[0.08-0.35],[0.00-0.10]
Galago_moholi,Macaca_nigra,0.035,[0.01-0.16],[0.00-0.10]
Galago_senegalensis,Macaca_nigra,0.013,[0.00-0.06],[0.00-0.10]
Gorilla_gorilla,Macaca_nigra,0.002,[0.00-0.08],[0.00-0.10]
Hylobates_lar,Macaca_nigra,0.131,[0.07-0.28],[0.00-0.10]
Lemur_catta,Macaca_nigra,0.103,[0.09-0.18],[0.00-0.10]
Leontopithecus_chrysomelas,Macaca_nigra,0.09,[0.04-0.22],[0.00-0.10]
Leontopithecus_rosalia,Macaca_nigra,0.028,[0.02-0.11],[0.00-0.10]
Macaca_fascicularis,Macaca_nigra,0.028,[0.00-0.05],[0.00-0.10]
Macaca_fuscata,Macaca_nigra,0.005,[0.00-0.09],[0.00-0.10]
Macaca_nigra,Macaca_nigra,0,[0.00-0.10],[0.00-0.10]
Macaca_silenus,Macaca_nigra,0.002,[0.00-0.08],[0.00-0.10]
Mandrillus_sphinx,Macaca_nigra,0.017,[0.00-0.12],[0.00-0.10]
Mico_argentatus,Macaca_nigra,0.028,[0.00-0.09],[0.00-0.10]
Microcebus_murinus,Macaca_nigra,0.218,[0.14-0.36],[0.00-0.10]
Nycticebus_coucang,Macaca_nigra,0.056,[0.01-0.22],[0.00-0.10]
Nycticebus_pygmaeus,Macaca_nigra,0.197,[0.12-0.35],[0.00-0.10]
Pan_troglodytes,Macaca_nigra,0.017,[0.00-0.04],[0.00-0.10]
Papio_hamadryas,Macaca_nigra,0.018,[0.00-0.04],[0.00-0.10]
Propithecus_coquereli,Macaca_nigra,0.052,[0.01-0.21],[0.00-0.10]
Saguinus_bicolor,Macaca_nigra,0.012,[0.00-0.15],[0.00-0.10]
Saguinus_imperator,Macaca_nigra,0.028,[0.00-0.05],[0.00-0.10]
Saguinus_midas,Macaca_nigra,0.028,[0.00-0.08],[0.00-0.10]
Saguinus_oedipus,Macaca_nigra,0.047,[0.04-0.12],[0.00-0.10]
Saimiri_sciureus,Macaca_nigra,0.024,[0.02-0.10],[0.00-0.10]
Sapajus_apella,Macaca_nigra,0.028,[0.00-0.07],[0.00-0.10]
Theropithecus_gelada,Macaca_nigra,0.009,[0.00-0.07],[0.00-0.10]
Trachypithecus_auratus,Macaca_nigra,0.009,[0.00-0.14],[0.00-0.10]
Trachypithecus_cristatus,Macaca_nigra,0.028,[0.00-0.07],[0.00-0.10]
Trachypithecus_francoisi,Macaca_nigra,0.072,[0.02-0.22],[0.00-0.10]
Varecia_rubra,Macaca_nigra,0.108,[0.06-0.23],[0.00-0.10]
Varecia_variegata,Macaca_nigra,0.143,[0.09-0.26],[0.00-0.10]
Alouatta_caraya,Macaca_silenus,0.002,[0.00-0.12],[0.00-0.08]
Ateles_geoffroyi,Macaca_silenus,0.157,[0.08-0.31],[0.00-0.08]
Callimico_goeldii,Macaca_silenus,0.072,[0.04-0.18],[0.00-0.08]
Callithrix_geoffroyi,Macaca_silenus,0.003,[0.00-0.12],[0.00-0.08]
Callithrix_jacchus,Macaca_silenus,0.005,[0.00-0.09],[0.00-0.08]
Cebuella_pygmaea,Macaca_silenus,0.019,[0.00-0.13],[0.00-0.08]
Cercopithecus_neglectus,Macaca_silenus,0.006,[0.00-0.13],[0.00-0.08]
Colobus_guereza,Macaca_silenus,0.012,[0.01-0.09],[0.00-0.08]
Eulemur_macaco,Macaca_silenus,0.171,[0.08-0.35],[0.00-0.08]
Galago_moholi,Macaca_silenus,0.033,[0.01-0.16],[0.00-0.08]
Galago_senegalensis,Macaca_silenus,0.014,[0.00-0.06],[0.00-0.08]
Gorilla_gorilla,Macaca_silenus,0,[0.00-0.08],[0.00-0.08]
Hylobates_lar,Macaca_silenus,0.13,[0.07-0.28],[0.00-0.08]
Lemur_catta,Macaca_silenus,0.102,[0.09-0.18],[0.00-0.08]
Leontopithecus_chrysomelas,Macaca_silenus,0.088,[0.04-0.22],[0.00-0.08]
Leontopithecus_rosalia,Macaca_silenus,0.026,[0.02-0.11],[0.00-0.08]
Macaca_fascicularis,Macaca_silenus,0.029,[0.00-0.05],[0.00-0.08]
Macaca_fuscata,Macaca_silenus,0.006,[0.00-0.09],[0.00-0.08]
Macaca_nigra,Macaca_silenus,0.002,[0.00-0.10],[0.00-0.08]
Macaca_silenus,Macaca_silenus,0,[0.00-0.08],[0.00-0.08]
Mandrillus_sphinx,Macaca_silenus,0.015,[0.00-0.12],[0.00-0.08]
Mico_argentatus,Macaca_silenus,0.029,[0.00-0.09],[0.00-0.08]
Microcebus_murinus,Macaca_silenus,0.216,[0.14-0.36],[0.00-0.08]
Nycticebus_coucang,Macaca_silenus,0.054,[0.01-0.22],[0.00-0.08]
Nycticebus_pygmaeus,Macaca_silenus,0.195,[0.12-0.35],[0.00-0.08]
Pan_troglodytes,Macaca_silenus,0.019,[0.00-0.04],[0.00-0.08]
Papio_hamadryas,Macaca_silenus,0.02,[0.00-0.04],[0.00-0.08]
Propithecus_coquereli,Macaca_silenus,0.051,[0.01-0.21],[0.00-0.08]
Saguinus_bicolor,Macaca_silenus,0.011,[0.00-0.15],[0.00-0.08]
Saguinus_imperator,Macaca_silenus,0.029,[0.00-0.05],[0.00-0.08]
Saguinus_midas,Macaca_silenus,0.029,[0.00-0.08],[0.00-0.08]
Saguinus_oedipus,Macaca_silenus,0.045,[0.04-0.12],[0.00-0.08]
Saimiri_sciureus,Macaca_silenus,0.022,[0.02-0.10],[0.00-0.08]
Sapajus_apella,Macaca_silenus,0.029,[0.00-0.07],[0.00-0.08]
Theropithecus_gelada,Macaca_silenus,0.01,[0.00-0.07],[0.00-0.08]
Trachypithecus_auratus,Macaca_silenus,0.008,[0.00-0.14],[0.00-0.08]
Trachypithecus_cristatus,Macaca_silenus,0.029,[0.00-0.07],[0.00-0.08]
Trachypithecus_francoisi,Macaca_silenus,0.071,[0.02-0.22],[0.00-0.08]
Varecia_rubra,Macaca_silenus,0.106,[0.06-0.23],[0.00-0.08]
Varecia_variegata,Macaca_silenus,0.142,[0.09-0.26],[0.00-0.08]
Alouatta_caraya,Mandrillus_sphinx,0.013,[0.00-0.12],[0.00-0.12]
Ateles_geoffroyi,Mandrillus_sphinx,0.142,[0.08-0.31],[0.00-0.12]
Callimico_goeldii,Mandrillus_sphinx,0.057,[0.04-0.18],[0.00-0.12]
Callithrix_geoffroyi,Mandrillus_sphinx,0.012,[0.00-0.12],[0.00-0.12]
Callithrix_jacchus,Mandrillus_sphinx,0.02,[0.00-0.09],[0.00-0.12]
Cebuella_pygmaea,Mandrillus_sphinx,0.004,[0.00-0.13],[0.00-0.12]
Cercopithecus_neglectus,Mandrillus_sphinx,0.009,[0.00-0.13],[0.00-0.12]
Colobus_guereza,Mandrillus_sphinx,0.003,[0.01-0.09],[0.00-0.12]
Eulemur_macaco,Mandrillus_sphinx,0.156,[0.08-0.35],[0.00-0.12]
Galago_moholi,Mandrillus_sphinx,0.018,[0.01-0.16],[0.00-0.12]
Galago_senegalensis,Mandrillus_sphinx,0.029,[0.00-0.06],[0.00-0.12]
Gorilla_gorilla,Mandrillus_sphinx,0.015,[0.00-0.08],[0.00-0.12]
Hylobates_lar,Mandrillus_sphinx,0.115,[0.07-0.28],[0.00-0.12]
Lemur_catta,Mandrillus_sphinx,0.087,[0.09-0.18],[0.00-0.12]
Leontopithecus_chrysomelas,Mandrillus_sphinx,0.073,[0.04-0.22],[0.00-0.12]
Leontopithecus_rosalia,Mandrillus_sphinx,0.011,[0.02-0.11],[0.00-0.12]
Macaca_fascicularis,Mandrillus_sphinx,0.044,[0.00-0.05],[0.00-0.12]
Macaca_fuscata,Mandrillus_sphinx,0.021,[0.00-0.09],[0.00-0.12]
Macaca_nigra,Mandrillus_sphinx,0.017,[0.00-0.10],[0.00-0.12]
Macaca_silenus,Mandrillus_sphinx,0.015,[0.00-0.08],[0.00-0.12]
Mandrillus_sphinx,Mandrillus_sphinx,0,[0.00-0.12],[0.00-0.12]
Mico_argentatus,Mandrillus_sphinx,0.044,[0.00-0.09],[0.00-0.12]
Microcebus_murinus,Mandrillus_sphinx,0.201,[0.14-0.36],[0.00-0.12]
Nycticebus_coucang,Mandrillus_sphinx,0.039,[0.01-0.22],[0.00-0.12]
Nycticebus_pygmaeus,Mandrillus_sphinx,0.18,[0.12-0.35],[0.00-0.12]
Pan_troglodytes,Mandrillus_sphinx,0.034,[0.00-0.04],[0.00-0.12]
Papio_hamadryas,Mandrillus_sphinx,0.035,[0.00-0.04],[0.00-0.12]
Propithecus_coquereli,Mandrillus_sphinx,0.036,[0.01-0.21],[0.00-0.12]
Saguinus_bicolor,Mandrillus_sphinx,0.004,[0.00-0.15],[0.00-0.12]
Saguinus_imperator,Mandrillus_sphinx,0.044,[0.00-0.05],[0.00-0.12]
Saguinus_midas,Mandrillus_sphinx,0.044,[0.00-0.08],[0.00-0.12]
Saguinus_oedipus,Mandrillus_sphinx,0.03,[0.04-0.12],[0.00-0.12]
Saimiri_sciureus,Mandrillus_sphinx,0.007,[0.02-0.10],[0.00-0.12]
Sapajus_apella,Mandrillus_sphinx,0.044,[0.00-0.07],[0.00-0.12]
Theropithecus_gelada,Mandrillus_sphinx,0.025,[0.00-0.07],[0.00-0.12]
Trachypithecus_auratus,Mandrillus_sphinx,0.007,[0.00-0.14],[0.00-0.12]
Trachypithecus_cristatus,Mandrillus_sphinx,0.044,[0.00-0.07],[0.00-0.12]
Trachypithecus_francoisi,Mandrillus_sphinx,0.056,[0.02-0.22],[0.00-0.12]
Varecia_rubra,Mandrillus_sphinx,0.091,[0.06-0.23],[0.00-0.12]
Varecia_variegata,Mandrillus_sphinx,0.127,[0.09-0.26],[0.00-0.12]
Alouatta_caraya,Mico_argentatus,0.031,[0.00-0.12],[0.00-0.09]
Ateles_geoffroyi,Mico_argentatus,0.186,[0.08-0.31],[0.00-0.09]
Callimico_goeldii,Mico_argentatus,0.101,[0.04-0.18],[0.00-0.09]
Callithrix_geoffroyi,Mico_argentatus,0.032,[0.00-0.12],[0.00-0.09]
Callithrix_jacchus,Mico_argentatus,0.024,[0.00-0.09],[0.00-0.09]
Cebuella_pygmaea,Mico_argentatus,0.049,[0.00-0.13],[0.00-0.09]
Cercopithecus_neglectus,Mico_argentatus,0.036,[0.00-0.13],[0.00-0.09]
Colobus_guereza,Mico_argentatus,0.041,[0.01-0.09],[0.00-0.09]
Eulemur_macaco,Mico_argentatus,0.2,[0.08-0.35],[0.00-0.09]
Galago_moholi,Mico_argentatus,0.062,[0.01-0.16],[0.00-0.09]
Galago_senegalensis,Mico_argentatus,0.015,[0.00-0.06],[0.00-0.09]
Gorilla_gorilla,Mico_argentatus,0.03,[0.00-0.08],[0.00-0.09]
Hylobates_lar,Mico_argentatus,0.159,[0.07-0.28],[0.00-0.09]
Lemur_catta,Mico_argentatus,0.131,[0.09-0.18],[0.00-0.09]
Leontopithecus_chrysomelas,Mico_argentatus,0.118,[0.04-0.22],[0.00-0.09]
Leontopithecus_rosalia,Mico_argentatus,0.056,[0.02-0.11],[0.00-0.09]
Macaca_fascicularis,Mico_argentatus,0,[0.00-0.05],[0.00-0.09]
Macaca_fuscata,Mico_argentatus,0.023,[0.00-0.09],[0.00-0.09]
Macaca_nigra,Mico_argentatus,0.028,[0.00-0.10],[0.00-0.09]
Macaca_silenus,Mico_argentatus,0.029,[0.00-0.08],[0.00-0.09]
Mandrillus_sphinx,Mico_argentatus,0.044,[0.00-0.12],[0.00-0.09]
Mico_argentatus,Mico_argentatus,0,[0.00-0.09],[0.00-0.09]
Microcebus_murinus,Mico_argentatus,0.246,[0.14-0.36],[0.00-0.09]
Nycticebus_coucang,Mico_argentatus,0.083,[0.01-0.22],[0.00-0.09]
Nycticebus_pygmaeus,Mico_argentatus,0.224,[0.12-0.35],[0.00-0.09]
Pan_troglodytes,Mico_argentatus,0.011,[0.00-0.04],[0.00-0.09]
Papio_hamadryas,Mico_argentatus,0.01,[0.00-0.04],[0.00-0.09]
Propithecus_coquereli,Mico_argentatus,0.08,[0.01-0.21],[0.00-0.09]
Saguinus_bicolor,Mico_argentatus,0.04,[0.00-0.15],[0.00-0.09]
Saguinus_imperator,Mico_argentatus,0,[0.00-0.05],[0.00-0.09]
Saguinus_midas,Mico_argentatus,0,[0.00-0.08],[0.00-0.09]
Saguinus_oedipus,Mico_argentatus,0.075,[0.04-0.12],[0.00-0.09]
Saimiri_sciureus,Mico_argentatus,0.052,[0.02-0.10],[0.00-0.09]
Sapajus_apella,Mico_argentatus,0,[0.00-0.07],[0.00-0.09]
Theropithecus_gelada,Mico_argentatus,0.019,[0.00-0.07],[0.00-0.09]
Trachypithecus_auratus,Mico_argentatus,0.037,[0.00-0.14],[0.00-0.09]
Trachypithecus_cristatus,Mico_argentatus,0,[0.00-0.07],[0.00-0.09]
Trachypithecus_francoisi,Mico_argentatus,0.1,[0.02-0.22],[0.00-0.09]
Varecia_rubra,Mico_argentatus,0.136,[0.06-0.23],[0.00-0.09]
Varecia_variegata,Mico_argentatus,0.171,[0.09-0.26],[0.00-0.09]
Alouatta_caraya,Microcebus_murinus,0.214,[0.00-0.12],[0.14-0.36]
Ateles_geoffroyi,Microcebus_murinus,0.06,[0.08-0.31],[0.14-0.36]
Callimico_goeldii,Microcebus_murinus,0.144,[0.04-0.18],[0.14-0.36]
Callithrix_geoffroyi,Microcebus_murinus,0.213,[0.00-0.12],[0.14-0.36]
Callithrix_jacchus,Microcebus_murinus,0.221,[0.00-0.09],[0.14-0.36]
Cebuella_pygmaea,Microcebus_murinus,0.197,[0.00-0.13],[0.14-0.36]
Cercopithecus_neglectus,Microcebus_murinus,0.21,[0.00-0.13],[0.14-0.36]
Colobus_guereza,Microcebus_murinus,0.204,[0.01-0.09],[0.14-0.36]
Eulemur_macaco,Microcebus_murinus,0.046,[0.08-0.35],[0.14-0.36]
Galago_moholi,Microcebus_murinus,0.183,[0.01-0.16],[0.14-0.36]
Galago_senegalensis,Microcebus_murinus,0.23,[0.00-0.06],[0.14-0.36]
Gorilla_gorilla,Microcebus_murinus,0.216,[0.00-0.08],[0.14-0.36]
Hylobates_lar,Microcebus_murinus,0.087,[0.07-0.28],[0.14-0.36]
Lemur_catta,Microcebus_murinus,0.114,[0.09-0.18],[0.14-0.36]
Leontopithecus_chrysomelas,Microcebus_murinus,0.128,[0.04-0.22],[0.14-0.36]
Leontopithecus_rosalia,Microcebus_murinus,0.19,[0.02-0.11],[0.14-0.36]
Macaca_fascicularis,Microcebus_murinus,0.246,[0.00-0.05],[0.14-0.36]
Macaca_fuscata,Microcebus_murinus,0.222,[0.00-0.09],[0.14-0.36]
Macaca_nigra,Microcebus_murinus,0.218,[0.00-0.10],[0.14-0.36]
Macaca_silenus,Microcebus_murinus,0.216,[0.00-0.08],[0.14-0.36]
Mandrillus_sphinx,Microcebus_murinus,0.201,[0.00-0.12],[0.14-0.36]
Mico_argentatus,Microcebus_murinus,0.246,[0.00-0.09],[0.14-0.36]
Microcebus_murinus,Microcebus_murinus,0,[0.14-0.36],[0.14-0.36]
Nycticebus_coucang,Microcebus_murinus,0.162,[0.01-0.22],[0.14-0.36]
Nycticebus_pygmaeus,Microcebus_murinus,0.021,[0.12-0.35],[0.14-0.36]
Pan_troglodytes,Microcebus_murinus,0.235,[0.00-0.04],[0.14-0.36]
Papio_hamadryas,Microcebus_murinus,0.236,[0.00-0.04],[0.14-0.36]
Propithecus_coquereli,Microcebus_murinus,0.166,[0.01-0.21],[0.14-0.36]
Saguinus_bicolor,Microcebus_murinus,0.206,[0.00-0.15],[0.14-0.36]
Saguinus_imperator,Microcebus_murinus,0.246,[0.00-0.05],[0.14-0.36]
Saguinus_midas,Microcebus_murinus,0.246,[0.00-0.08],[0.14-0.36]
Saguinus_oedipus,Microcebus_murinus,0.171,[0.04-0.12],[0.14-0.36]
Saimiri_sciureus,Microcebus_murinus,0.194,[0.02-0.10],[0.14-0.36]
Sapajus_apella,Microcebus_murinus,0.246,[0.00-0.07],[0.14-0.36]
Theropithecus_gelada,Microcebus_murinus,0.226,[0.00-0.07],[0.14-0.36]
Trachypithecus_auratus,Microcebus_murinus,0.209,[0.00-0.14],[0.14-0.36]
Trachypithecus_cristatus,Microcebus_murinus,0.246,[0.00-0.07],[0.14-0.36]
Trachypithecus_francoisi,Microcebus_murinus,0.146,[0.02-0.22],[0.14-0.36]
Varecia_rubra,Microcebus_murinus,0.11,[0.06-0.23],[0.14-0.36]
Varecia_variegata,Microcebus_murinus,0.075,[0.09-0.26],[0.14-0.36]
Alouatta_caraya,Nycticebus_coucang,0.052,[0.00-0.12],[0.01-0.22]
Ateles_geoffroyi,Nycticebus_coucang,0.103,[0.08-0.31],[0.01-0.22]
Callimico_goeldii,Nycticebus_coucang,0.018,[0.04-0.18],[0.01-0.22]
Callithrix_geoffroyi,Nycticebus_coucang,0.051,[0.00-0.12],[0.01-0.22]
Callithrix_jacchus,Nycticebus_coucang,0.059,[0.00-0.09],[0.01-0.22]
Cebuella_pygmaea,Nycticebus_coucang,0.035,[0.00-0.13],[0.01-0.22]
Cercopithecus_neglectus,Nycticebus_coucang,0.048,[0.00-0.13],[0.01-0.22]
Colobus_guereza,Nycticebus_coucang,0.042,[0.01-0.09],[0.01-0.22]
Eulemur_macaco,Nycticebus_coucang,0.117,[0.08-0.35],[0.01-0.22]
Galago_moholi,Nycticebus_coucang,0.021,[0.01-0.16],[0.01-0.22]
Galago_senegalensis,Nycticebus_coucang,0.068,[0.00-0.06],[0.01-0.22]
Gorilla_gorilla,Nycticebus_coucang,0.053,[0.00-0.08],[0.01-0.22]
Hylobates_lar,Nycticebus_coucang,0.076,[0.07-0.28],[0.01-0.22]
Lemur_catta,Nycticebus_coucang,0.048,[0.09-0.18],[0.01-0.22]
Leontopithecus_chrysomelas,Nycticebus_coucang,0.034,[0.04-0.22],[0.01-0.22]
Leontopithecus_rosalia,Nycticebus_coucang,0.028,[0.02-0.11],[0.01-0.22]
Macaca_fascicularis,Nycticebus_coucang,0.083,[0.00-0.05],[0.01-0.22]
Macaca_fuscata,Nycticebus_coucang,0.06,[0.00-0.09],[0.01-0.22]
Macaca_nigra,Nycticebus_coucang,0.056,[0.00-0.10],[0.01-0.22]
Macaca_silenus,Nycticebus_coucang,0.054,[0.00-0.08],[0.01-0.22]
Mandrillus_sphinx,Nycticebus_coucang,0.039,[0.00-0.12],[0.01-0.22]
Mico_argentatus,Nycticebus_coucang,0.083,[0.00-0.09],[0.01-0.22]
Microcebus_murinus,Nycticebus_coucang,0.162,[0.14-0.36],[0.01-0.22]
Nycticebus_coucang,Nycticebus_coucang,0,[0.01-0.22],[0.01-0.22]
Nycticebus_pygmaeus,Nycticebus_coucang,0.141,[0.12-0.35],[0.01-0.22]
Pan_troglodytes,Nycticebus_coucang,0.073,[0.00-0.04],[0.01-0.22]
