species1,species2,Trait Difference,Trait CI1,Trait CI2
Propithecus_coquereli,Leontopithecus_rosalia,0.038,[0.04-0.32],[0.06-0.20]
Saguinus_bicolor,Leontopithecus_rosalia,0.082,[0.00-0.15],[0.06-0.20]
Saguinus_imperator,Leontopithecus_rosalia,0.122,[0.00-0.05],[0.06-0.20]
Saguinus_midas,Leontopithecus_rosalia,0.122,[0.00-0.08],[0.06-0.20]
Saguinus_oedipus,Leontopithecus_rosalia,0.049,[0.11-0.24],[0.06-0.20]
Saimiri_sciureus,Leontopithecus_rosalia,0.045,[0.04-0.13],[0.06-0.20]
Sapajus_apella,Leontopithecus_rosalia,0.007,[0.02-0.25],[0.06-0.20]
Theropithecus_gelada,Leontopithecus_rosalia,0.103,[0.00-0.07],[0.06-0.20]
Trachypithecus_auratus,Leontopithecus_rosalia,0.085,[0.00-0.14],[0.06-0.20]
Trachypithecus_cristatus,Leontopithecus_rosalia,0.087,[0.00-0.13],[0.06-0.20]
Trachypithecus_francoisi,Leontopithecus_rosalia,0.011,[0.04-0.27],[0.06-0.20]
Varecia_rubra,Leontopithecus_rosalia,0.064,[0.10-0.29],[0.06-0.20]
Varecia_variegata,Leontopithecus_rosalia,0.088,[0.13-0.31],[0.06-0.20]
Alouatta_caraya,Macaca_fascicularis,0.071,[0.03-0.25],[0.00-0.14]
Ateles_geoffroyi,Macaca_fascicularis,0.248,[0.18-0.44],[0.00-0.14]
Callimico_goeldii,Macaca_fascicularis,0.163,[0.13-0.32],[0.00-0.14]
Callithrix_geoffroyi,Macaca_fascicularis,0.043,[0.02-0.22],[0.00-0.14]
Callithrix_jacchus,Macaca_fascicularis,0.03,[0.00-0.09],[0.00-0.14]
Cebuella_pygmaea,Macaca_fascicularis,0.044,[0.03-0.20],[0.00-0.14]
Cercopithecus_neglectus,Macaca_fascicularis,0.017,[0.01-0.19],[0.00-0.14]
Colobus_guereza,Macaca_fascicularis,0.049,[0.05-0.17],[0.00-0.14]
Eulemur_macaco,Macaca_fascicularis,0.246,[0.15-0.47],[0.00-0.14]
Galago_moholi,Macaca_fascicularis,0.04,[0.02-0.21],[0.00-0.14]
Galago_senegalensis,Macaca_fascicularis,0.039,[0.00-0.06],[0.00-0.14]
Gorilla_gorilla,Macaca_fascicularis,0.155,[0.12-0.31],[0.00-0.14]
Hylobates_lar,Macaca_fascicularis,0.105,[0.07-0.28],[0.00-0.14]
Lemur_catta,Macaca_fascicularis,0.102,[0.11-0.20],[0.00-0.14]
Leontopithecus_chrysomelas,Macaca_fascicularis,0.064,[0.04-0.22],[0.00-0.14]
Leontopithecus_rosalia,Macaca_fascicularis,0.068,[0.06-0.20],[0.00-0.14]
Macaca_fascicularis,Macaca_fascicularis,0,[0.00-0.14],[0.00-0.14]
Macaca_fuscata,Macaca_fascicularis,0.039,[0.02-0.19],[0.00-0.14]
Macaca_nigra,Macaca_fascicularis,0.026,[0.00-0.10],[0.00-0.14]
Macaca_silenus,Macaca_fascicularis,0.034,[0.03-0.16],[0.00-0.14]
Mandrillus_sphinx,Macaca_fascicularis,0.035,[0.02-0.18],[0.00-0.14]
Mico_argentatus,Macaca_fascicularis,0.004,[0.00-0.18],[0.00-0.14]
Microcebus_murinus,Macaca_fascicularis,0.192,[0.14-0.36],[0.00-0.14]
Nycticebus_coucang,Macaca_fascicularis,0.029,[0.01-0.22],[0.00-0.14]
Nycticebus_pygmaeus,Macaca_fascicularis,0.211,[0.15-0.39],[0.00-0.14]
Pan_troglodytes,Macaca_fascicularis,0.114,[0.10-0.25],[0.00-0.14]
Papio_hamadryas,Macaca_fascicularis,0.006,[0.01-0.10],[0.00-0.14]
Propithecus_coquereli,Macaca_fascicularis,0.106,[0.04-0.32],[0.00-0.14]
Saguinus_bicolor,Macaca_fascicularis,0.014,[0.00-0.15],[0.00-0.14]
Saguinus_imperator,Macaca_fascicularis,0.054,[0.00-0.05],[0.00-0.14]
Saguinus_midas,Macaca_fascicularis,0.054,[0.00-0.08],[0.00-0.14]
Saguinus_oedipus,Macaca_fascicularis,0.118,[0.11-0.24],[0.00-0.14]
Saimiri_sciureus,Macaca_fascicularis,0.024,[0.04-0.13],[0.00-0.14]
Sapajus_apella,Macaca_fascicularis,0.061,[0.02-0.25],[0.00-0.14]
Theropithecus_gelada,Macaca_fascicularis,0.035,[0.00-0.07],[0.00-0.14]
Trachypithecus_auratus,Macaca_fascicularis,0.017,[0.00-0.14],[0.00-0.14]
Trachypithecus_cristatus,Macaca_fascicularis,0.018,[0.00-0.13],[0.00-0.14]
Trachypithecus_francoisi,Macaca_fascicularis,0.079,[0.04-0.27],[0.00-0.14]
Varecia_rubra,Macaca_fascicularis,0.132,[0.10-0.29],[0.00-0.14]
Varecia_variegata,Macaca_fascicularis,0.156,[0.13-0.31],[0.00-0.14]
Alouatta_caraya,Macaca_fuscata,0.032,[0.03-0.25],[0.02-0.19]
Ateles_geoffroyi,Macaca_fuscata,0.209,[0.18-0.44],[0.02-0.19]
Callimico_goeldii,Macaca_fuscata,0.124,[0.13-0.32],[0.02-0.19]
Callithrix_geoffroyi,Macaca_fuscata,0.004,[0.02-0.22],[0.02-0.19]
Callithrix_jacchus,Macaca_fuscata,0.069,[0.00-0.09],[0.02-0.19]
Cebuella_pygmaea,Macaca_fuscata,0.005,[0.03-0.20],[0.02-0.19]
Cercopithecus_neglectus,Macaca_fuscata,0.022,[0.01-0.19],[0.02-0.19]
Colobus_guereza,Macaca_fuscata,0.01,[0.05-0.17],[0.02-0.19]
Eulemur_macaco,Macaca_fuscata,0.207,[0.15-0.47],[0.02-0.19]
Galago_moholi,Macaca_fuscata,0.001,[0.02-0.21],[0.02-0.19]
Galago_senegalensis,Macaca_fuscata,0.078,[0.00-0.06],[0.02-0.19]
Gorilla_gorilla,Macaca_fuscata,0.116,[0.12-0.31],[0.02-0.19]
Hylobates_lar,Macaca_fuscata,0.066,[0.07-0.28],[0.02-0.19]
Lemur_catta,Macaca_fuscata,0.063,[0.11-0.20],[0.02-0.19]
Leontopithecus_chrysomelas,Macaca_fuscata,0.025,[0.04-0.22],[0.02-0.19]
Leontopithecus_rosalia,Macaca_fuscata,0.029,[0.06-0.20],[0.02-0.19]
Macaca_fascicularis,Macaca_fuscata,0.039,[0.00-0.14],[0.02-0.19]
Macaca_fuscata,Macaca_fuscata,0,[0.02-0.19],[0.02-0.19]
Macaca_nigra,Macaca_fuscata,0.065,[0.00-0.10],[0.02-0.19]
Macaca_silenus,Macaca_fuscata,0.005,[0.03-0.16],[0.02-0.19]
Mandrillus_sphinx,Macaca_fuscata,0.004,[0.02-0.18],[0.02-0.19]
Mico_argentatus,Macaca_fuscata,0.043,[0.00-0.18],[0.02-0.19]
Microcebus_murinus,Macaca_fuscata,0.153,[0.14-0.36],[0.02-0.19]
Nycticebus_coucang,Macaca_fuscata,0.01,[0.01-0.22],[0.02-0.19]
Nycticebus_pygmaeus,Macaca_fuscata,0.172,[0.15-0.39],[0.02-0.19]
Pan_troglodytes,Macaca_fuscata,0.075,[0.10-0.25],[0.02-0.19]
Papio_hamadryas,Macaca_fuscata,0.044,[0.01-0.10],[0.02-0.19]
Propithecus_coquereli,Macaca_fuscata,0.067,[0.04-0.32],[0.02-0.19]
Saguinus_bicolor,Macaca_fuscata,0.053,[0.00-0.15],[0.02-0.19]
Saguinus_imperator,Macaca_fuscata,0.093,[0.00-0.05],[0.02-0.19]
Saguinus_midas,Macaca_fuscata,0.093,[0.00-0.08],[0.02-0.19]
Saguinus_oedipus,Macaca_fuscata,0.079,[0.11-0.24],[0.02-0.19]
Saimiri_sciureus,Macaca_fuscata,0.015,[0.04-0.13],[0.02-0.19]
Sapajus_apella,Macaca_fuscata,0.022,[0.02-0.25],[0.02-0.19]
Theropithecus_gelada,Macaca_fuscata,0.074,[0.00-0.07],[0.02-0.19]
Trachypithecus_auratus,Macaca_fuscata,0.056,[0.00-0.14],[0.02-0.19]
Trachypithecus_cristatus,Macaca_fuscata,0.057,[0.00-0.13],[0.02-0.19]
Trachypithecus_francoisi,Macaca_fuscata,0.04,[0.04-0.27],[0.02-0.19]
Varecia_rubra,Macaca_fuscata,0.093,[0.10-0.29],[0.02-0.19]
Varecia_variegata,Macaca_fuscata,0.118,[0.13-0.31],[0.02-0.19]
Alouatta_caraya,Macaca_nigra,0.097,[0.03-0.25],[0.00-0.10]
Ateles_geoffroyi,Macaca_nigra,0.275,[0.18-0.44],[0.00-0.10]
Callimico_goeldii,Macaca_nigra,0.19,[0.13-0.32],[0.00-0.10]
Callithrix_geoffroyi,Macaca_nigra,0.069,[0.02-0.22],[0.00-0.10]
Callithrix_jacchus,Macaca_nigra,0.003,[0.00-0.09],[0.00-0.10]
Cebuella_pygmaea,Macaca_nigra,0.07,[0.03-0.20],[0.00-0.10]
Cercopithecus_neglectus,Macaca_nigra,0.044,[0.01-0.19],[0.00-0.10]
Colobus_guereza,Macaca_nigra,0.075,[0.05-0.17],[0.00-0.10]
Eulemur_macaco,Macaca_nigra,0.272,[0.15-0.47],[0.00-0.10]
Galago_moholi,Macaca_nigra,0.066,[0.02-0.21],[0.00-0.10]
Galago_senegalensis,Macaca_nigra,0.013,[0.00-0.06],[0.00-0.10]
Gorilla_gorilla,Macaca_nigra,0.181,[0.12-0.31],[0.00-0.10]
Hylobates_lar,Macaca_nigra,0.131,[0.07-0.28],[0.00-0.10]
Lemur_catta,Macaca_nigra,0.128,[0.11-0.20],[0.00-0.10]
Leontopithecus_chrysomelas,Macaca_nigra,0.09,[0.04-0.22],[0.00-0.10]
Leontopithecus_rosalia,Macaca_nigra,0.094,[0.06-0.20],[0.00-0.10]
Macaca_fascicularis,Macaca_nigra,0.026,[0.00-0.14],[0.00-0.10]
Macaca_fuscata,Macaca_nigra,0.065,[0.02-0.19],[0.00-0.10]
Macaca_nigra,Macaca_nigra,0,[0.00-0.10],[0.00-0.10]
Macaca_silenus,Macaca_nigra,0.06,[0.03-0.16],[0.00-0.10]
Mandrillus_sphinx,Macaca_nigra,0.061,[0.02-0.18],[0.00-0.10]
Mico_argentatus,Macaca_nigra,0.022,[0.00-0.18],[0.00-0.10]
Microcebus_murinus,Macaca_nigra,0.218,[0.14-0.36],[0.00-0.10]
Nycticebus_coucang,Macaca_nigra,0.056,[0.01-0.22],[0.00-0.10]
Nycticebus_pygmaeus,Macaca_nigra,0.238,[0.15-0.39],[0.00-0.10]
Pan_troglodytes,Macaca_nigra,0.141,[0.10-0.25],[0.00-0.10]
Papio_hamadryas,Macaca_nigra,0.021,[0.01-0.10],[0.00-0.10]
Propithecus_coquereli,Macaca_nigra,0.132,[0.04-0.32],[0.00-0.10]
Saguinus_bicolor,Macaca_nigra,0.012,[0.00-0.15],[0.00-0.10]
Saguinus_imperator,Macaca_nigra,0.028,[0.00-0.05],[0.00-0.10]
Saguinus_midas,Macaca_nigra,0.028,[0.00-0.08],[0.00-0.10]
Saguinus_oedipus,Macaca_nigra,0.144,[0.11-0.24],[0.00-0.10]
Saimiri_sciureus,Macaca_nigra,0.05,[0.04-0.13],[0.00-0.10]
Sapajus_apella,Macaca_nigra,0.088,[0.02-0.25],[0.00-0.10]
Theropithecus_gelada,Macaca_nigra,0.009,[0.00-0.07],[0.00-0.10]
Trachypithecus_auratus,Macaca_nigra,0.009,[0.00-0.14],[0.00-0.10]
Trachypithecus_cristatus,Macaca_nigra,0.008,[0.00-0.13],[0.00-0.10]
Trachypithecus_francoisi,Macaca_nigra,0.106,[0.04-0.27],[0.00-0.10]
Varecia_rubra,Macaca_nigra,0.159,[0.10-0.29],[0.00-0.10]
Varecia_variegata,Macaca_nigra,0.183,[0.13-0.31],[0.00-0.10]
Alouatta_caraya,Macaca_silenus,0.037,[0.03-0.25],[0.03-0.16]
Ateles_geoffroyi,Macaca_silenus,0.214,[0.18-0.44],[0.03-0.16]
Callimico_goeldii,Macaca_silenus,0.129,[0.13-0.32],[0.03-0.16]
Callithrix_geoffroyi,Macaca_silenus,0.009,[0.02-0.22],[0.03-0.16]
Callithrix_jacchus,Macaca_silenus,0.064,[0.00-0.09],[0.03-0.16]
Cebuella_pygmaea,Macaca_silenus,0.009,[0.03-0.20],[0.03-0.16]
Cercopithecus_neglectus,Macaca_silenus,0.017,[0.01-0.19],[0.03-0.16]
Colobus_guereza,Macaca_silenus,0.015,[0.05-0.17],[0.03-0.16]
Eulemur_macaco,Macaca_silenus,0.212,[0.15-0.47],[0.03-0.16]
Galago_moholi,Macaca_silenus,0.006,[0.02-0.21],[0.03-0.16]
Galago_senegalensis,Macaca_silenus,0.073,[0.00-0.06],[0.03-0.16]
Gorilla_gorilla,Macaca_silenus,0.121,[0.12-0.31],[0.03-0.16]
Hylobates_lar,Macaca_silenus,0.071,[0.07-0.28],[0.03-0.16]
Lemur_catta,Macaca_silenus,0.068,[0.11-0.20],[0.03-0.16]
Leontopithecus_chrysomelas,Macaca_silenus,0.029,[0.04-0.22],[0.03-0.16]
Leontopithecus_rosalia,Macaca_silenus,0.034,[0.06-0.20],[0.03-0.16]
Macaca_fascicularis,Macaca_silenus,0.034,[0.00-0.14],[0.03-0.16]
Macaca_fuscata,Macaca_silenus,0.005,[0.02-0.19],[0.03-0.16]
Macaca_nigra,Macaca_silenus,0.06,[0.00-0.10],[0.03-0.16]
Macaca_silenus,Macaca_silenus,0,[0.03-0.16],[0.03-0.16]
Mandrillus_sphinx,Macaca_silenus,0.001,[0.02-0.18],[0.03-0.16]
Mico_argentatus,Macaca_silenus,0.038,[0.00-0.18],[0.03-0.16]
Microcebus_murinus,Macaca_silenus,0.157,[0.14-0.36],[0.03-0.16]
Nycticebus_coucang,Macaca_silenus,0.005,[0.01-0.22],[0.03-0.16]
Nycticebus_pygmaeus,Macaca_silenus,0.177,[0.15-0.39],[0.03-0.16]
Pan_troglodytes,Macaca_silenus,0.08,[0.10-0.25],[0.03-0.16]
Papio_hamadryas,Macaca_silenus,0.04,[0.01-0.10],[0.03-0.16]
Propithecus_coquereli,Macaca_silenus,0.072,[0.04-0.32],[0.03-0.16]
Saguinus_bicolor,Macaca_silenus,0.048,[0.00-0.15],[0.03-0.16]
Saguinus_imperator,Macaca_silenus,0.088,[0.00-0.05],[0.03-0.16]
Saguinus_midas,Macaca_silenus,0.088,[0.00-0.08],[0.03-0.16]
Saguinus_oedipus,Macaca_silenus,0.083,[0.11-0.24],[0.03-0.16]
Saimiri_sciureus,Macaca_silenus,0.011,[0.04-0.13],[0.03-0.16]
Sapajus_apella,Macaca_silenus,0.027,[0.02-0.25],[0.03-0.16]
Theropithecus_gelada,Macaca_silenus,0.069,[0.00-0.07],[0.03-0.16]
Trachypithecus_auratus,Macaca_silenus,0.051,[0.00-0.14],[0.03-0.16]
Trachypithecus_cristatus,Macaca_silenus,0.053,[0.00-0.13],[0.03-0.16]
Trachypithecus_francoisi,Macaca_silenus,0.045,[0.04-0.27],[0.03-0.16]
Varecia_rubra,Macaca_silenus,0.098,[0.10-0.29],[0.03-0.16]
Varecia_variegata,Macaca_silenus,0.122,[0.13-0.31],[0.03-0.16]
Alouatta_caraya,Mandrillus_sphinx,0.036,[0.03-0.25],[0.02-0.18]
Ateles_geoffroyi,Mandrillus_sphinx,0.213,[0.18-0.44],[0.02-0.18]
Callimico_goeldii,Mandrillus_sphinx,0.129,[0.13-0.32],[0.02-0.18]
Callithrix_geoffroyi,Mandrillus_sphinx,0.008,[0.02-0.22],[0.02-0.18]
Callithrix_jacchus,Mandrillus_sphinx,0.064,[0.00-0.09],[0.02-0.18]
Cebuella_pygmaea,Mandrillus_sphinx,0.009,[0.03-0.20],[0.02-0.18]
Cercopithecus_neglectus,Mandrillus_sphinx,0.017,[0.01-0.19],[0.02-0.18]
Colobus_guereza,Mandrillus_sphinx,0.014,[0.05-0.17],[0.02-0.18]
Eulemur_macaco,Mandrillus_sphinx,0.211,[0.15-0.47],[0.02-0.18]
Galago_moholi,Mandrillus_sphinx,0.005,[0.02-0.21],[0.02-0.18]
Galago_senegalensis,Mandrillus_sphinx,0.074,[0.00-0.06],[0.02-0.18]
Gorilla_gorilla,Mandrillus_sphinx,0.12,[0.12-0.31],[0.02-0.18]
Hylobates_lar,Mandrillus_sphinx,0.07,[0.07-0.28],[0.02-0.18]
Lemur_catta,Mandrillus_sphinx,0.067,[0.11-0.20],[0.02-0.18]
Leontopithecus_chrysomelas,Mandrillus_sphinx,0.029,[0.04-0.22],[0.02-0.18]
Leontopithecus_rosalia,Mandrillus_sphinx,0.033,[0.06-0.20],[0.02-0.18]
Macaca_fascicularis,Mandrillus_sphinx,0.035,[0.00-0.14],[0.02-0.18]
Macaca_fuscata,Mandrillus_sphinx,0.004,[0.02-0.19],[0.02-0.18]
Macaca_nigra,Mandrillus_sphinx,0.061,[0.00-0.10],[0.02-0.18]
Macaca_silenus,Mandrillus_sphinx,0.001,[0.03-0.16],[0.02-0.18]
Mandrillus_sphinx,Mandrillus_sphinx,0,[0.02-0.18],[0.02-0.18]
Mico_argentatus,Mandrillus_sphinx,0.039,[0.00-0.18],[0.02-0.18]
Microcebus_murinus,Mandrillus_sphinx,0.157,[0.14-0.36],[0.02-0.18]
Nycticebus_coucang,Mandrillus_sphinx,0.006,[0.01-0.22],[0.02-0.18]
Nycticebus_pygmaeus,Mandrillus_sphinx,0.176,[0.15-0.39],[0.02-0.18]
Pan_troglodytes,Mandrillus_sphinx,0.08,[0.10-0.25],[0.02-0.18]
Papio_hamadryas,Mandrillus_sphinx,0.04,[0.01-0.10],[0.02-0.18]
Propithecus_coquereli,Mandrillus_sphinx,0.071,[0.04-0.32],[0.02-0.18]
Saguinus_bicolor,Mandrillus_sphinx,0.049,[0.00-0.15],[0.02-0.18]
Saguinus_imperator,Mandrillus_sphinx,0.089,[0.00-0.05],[0.02-0.18]
Saguinus_midas,Mandrillus_sphinx,0.089,[0.00-0.08],[0.02-0.18]
Saguinus_oedipus,Mandrillus_sphinx,0.083,[0.11-0.24],[0.02-0.18]
Saimiri_sciureus,Mandrillus_sphinx,0.011,[0.04-0.13],[0.02-0.18]
Sapajus_apella,Mandrillus_sphinx,0.026,[0.02-0.25],[0.02-0.18]
Theropithecus_gelada,Mandrillus_sphinx,0.07,[0.00-0.07],[0.02-0.18]
Trachypithecus_auratus,Mandrillus_sphinx,0.052,[0.00-0.14],[0.02-0.18]
Trachypithecus_cristatus,Mandrillus_sphinx,0.053,[0.00-0.13],[0.02-0.18]
Trachypithecus_francoisi,Mandrillus_sphinx,0.044,[0.04-0.27],[0.02-0.18]
Varecia_rubra,Mandrillus_sphinx,0.098,[0.10-0.29],[0.02-0.18]
Varecia_variegata,Mandrillus_sphinx,0.122,[0.13-0.31],[0.02-0.18]
Alouatta_caraya,Mico_argentatus,0.075,[0.03-0.25],[0.00-0.18]
Ateles_geoffroyi,Mico_argentatus,0.252,[0.18-0.44],[0.00-0.18]
Callimico_goeldii,Mico_argentatus,0.167,[0.13-0.32],[0.00-0.18]
Callithrix_geoffroyi,Mico_argentatus,0.047,[0.02-0.22],[0.00-0.18]
Callithrix_jacchus,Mico_argentatus,0.026,[0.00-0.09],[0.00-0.18]
Cebuella_pygmaea,Mico_argentatus,0.048,[0.03-0.20],[0.00-0.18]
Cercopithecus_neglectus,Mico_argentatus,0.021,[0.01-0.19],[0.00-0.18]
Colobus_guereza,Mico_argentatus,0.053,[0.05-0.17],[0.00-0.18]
Eulemur_macaco,Mico_argentatus,0.25,[0.15-0.47],[0.00-0.18]
Galago_moholi,Mico_argentatus,0.044,[0.02-0.21],[0.00-0.18]
Galago_senegalensis,Mico_argentatus,0.035,[0.00-0.06],[0.00-0.18]
Gorilla_gorilla,Mico_argentatus,0.159,[0.12-0.31],[0.00-0.18]
Hylobates_lar,Mico_argentatus,0.109,[0.07-0.28],[0.00-0.18]
Lemur_catta,Mico_argentatus,0.106,[0.11-0.20],[0.00-0.18]
Leontopithecus_chrysomelas,Mico_argentatus,0.068,[0.04-0.22],[0.00-0.18]
Leontopithecus_rosalia,Mico_argentatus,0.072,[0.06-0.20],[0.00-0.18]
Macaca_fascicularis,Mico_argentatus,0.004,[0.00-0.14],[0.00-0.18]
Macaca_fuscata,Mico_argentatus,0.043,[0.02-0.19],[0.00-0.18]
Macaca_nigra,Mico_argentatus,0.022,[0.00-0.10],[0.00-0.18]
Macaca_silenus,Mico_argentatus,0.038,[0.03-0.16],[0.00-0.18]
Mandrillus_sphinx,Mico_argentatus,0.039,[0.02-0.18],[0.00-0.18]
Mico_argentatus,Mico_argentatus,0,[0.00-0.18],[0.00-0.18]
Microcebus_murinus,Mico_argentatus,0.196,[0.14-0.36],[0.00-0.18]
Nycticebus_coucang,Mico_argentatus,0.033,[0.01-0.22],[0.00-0.18]
Nycticebus_pygmaeus,Mico_argentatus,0.215,[0.15-0.39],[0.00-0.18]
Pan_troglodytes,Mico_argentatus,0.118,[0.10-0.25],[0.00-0.18]
Papio_hamadryas,Mico_argentatus,0.001,[0.01-0.10],[0.00-0.18]
Propithecus_coquereli,Mico_argentatus,0.11,[0.04-0.32],[0.00-0.18]
Saguinus_bicolor,Mico_argentatus,0.01,[0.00-0.15],[0.00-0.18]
Saguinus_imperator,Mico_argentatus,0.05,[0.00-0.05],[0.00-0.18]
Saguinus_midas,Mico_argentatus,0.05,[0.00-0.08],[0.00-0.18]
Saguinus_oedipus,Mico_argentatus,0.122,[0.11-0.24],[0.00-0.18]
Saimiri_sciureus,Mico_argentatus,0.028,[0.04-0.13],[0.00-0.18]
Sapajus_apella,Mico_argentatus,0.065,[0.02-0.25],[0.00-0.18]
Theropithecus_gelada,Mico_argentatus,0.031,[0.00-0.07],[0.00-0.18]
Trachypithecus_auratus,Mico_argentatus,0.013,[0.00-0.14],[0.00-0.18]
Trachypithecus_cristatus,Mico_argentatus,0.014,[0.00-0.13],[0.00-0.18]
Trachypithecus_francoisi,Mico_argentatus,0.083,[0.04-0.27],[0.00-0.18]
Varecia_rubra,Mico_argentatus,0.136,[0.10-0.29],[0.00-0.18]
Varecia_variegata,Mico_argentatus,0.161,[0.13-0.31],[0.00-0.18]
Alouatta_caraya,Microcebus_murinus,0.121,[0.03-0.25],[0.14-0.36]
Ateles_geoffroyi,Microcebus_murinus,0.057,[0.18-0.44],[0.14-0.36]
Callimico_goeldii,Microcebus_murinus,0.028,[0.13-0.32],[0.14-0.36]
Callithrix_geoffroyi,Microcebus_murinus,0.149,[0.02-0.22],[0.14-0.36]
Callithrix_jacchus,Microcebus_murinus,0.221,[0.00-0.09],[0.14-0.36]
Cebuella_pygmaea,Microcebus_murinus,0.148,[0.03-0.20],[0.14-0.36]
Cercopithecus_neglectus,Microcebus_murinus,0.174,[0.01-0.19],[0.14-0.36]
Colobus_guereza,Microcebus_murinus,0.143,[0.05-0.17],[0.14-0.36]
Eulemur_macaco,Microcebus_murinus,0.054,[0.15-0.47],[0.14-0.36]
Galago_moholi,Microcebus_murinus,0.152,[0.02-0.21],[0.14-0.36]
Galago_senegalensis,Microcebus_murinus,0.23,[0.00-0.06],[0.14-0.36]
Gorilla_gorilla,Microcebus_murinus,0.037,[0.12-0.31],[0.14-0.36]
Hylobates_lar,Microcebus_murinus,0.087,[0.07-0.28],[0.14-0.36]
Lemur_catta,Microcebus_murinus,0.09,[0.11-0.20],[0.14-0.36]
Leontopithecus_chrysomelas,Microcebus_murinus,0.128,[0.04-0.22],[0.14-0.36]
Leontopithecus_rosalia,Microcebus_murinus,0.123,[0.06-0.20],[0.14-0.36]
Macaca_fascicularis,Microcebus_murinus,0.192,[0.00-0.14],[0.14-0.36]
Macaca_fuscata,Microcebus_murinus,0.153,[0.02-0.19],[0.14-0.36]
Macaca_nigra,Microcebus_murinus,0.218,[0.00-0.10],[0.14-0.36]
Macaca_silenus,Microcebus_murinus,0.157,[0.03-0.16],[0.14-0.36]
Mandrillus_sphinx,Microcebus_murinus,0.157,[0.02-0.18],[0.14-0.36]
Mico_argentatus,Microcebus_murinus,0.196,[0.00-0.18],[0.14-0.36]
Microcebus_murinus,Microcebus_murinus,0,[0.14-0.36],[0.14-0.36]
Nycticebus_coucang,Microcebus_murinus,0.162,[0.01-0.22],[0.14-0.36]
Nycticebus_pygmaeus,Microcebus_murinus,0.02,[0.15-0.39],[0.14-0.36]
Pan_troglodytes,Microcebus_murinus,0.077,[0.10-0.25],[0.14-0.36]
Papio_hamadryas,Microcebus_murinus,0.197,[0.01-0.10],[0.14-0.36]
Propithecus_coquereli,Microcebus_murinus,0.086,[0.04-0.32],[0.14-0.36]
Saguinus_bicolor,Microcebus_murinus,0.206,[0.00-0.15],[0.14-0.36]
Saguinus_imperator,Microcebus_murinus,0.246,[0.00-0.05],[0.14-0.36]
Saguinus_midas,Microcebus_murinus,0.246,[0.00-0.08],[0.14-0.36]
Saguinus_oedipus,Microcebus_murinus,0.074,[0.11-0.24],[0.14-0.36]
Saimiri_sciureus,Microcebus_murinus,0.168,[0.04-0.13],[0.14-0.36]
Sapajus_apella,Microcebus_murinus,0.13,[0.02-0.25],[0.14-0.36]
Theropithecus_gelada,Microcebus_murinus,0.226,[0.00-0.07],[0.14-0.36]
Trachypithecus_auratus,Microcebus_murinus,0.209,[0.00-0.14],[0.14-0.36]
Trachypithecus_cristatus,Microcebus_murinus,0.21,[0.00-0.13],[0.14-0.36]
Trachypithecus_francoisi,Microcebus_murinus,0.112,[0.04-0.27],[0.14-0.36]
Varecia_rubra,Microcebus_murinus,0.059,[0.10-0.29],[0.14-0.36]
Varecia_variegata,Microcebus_murinus,0.035,[0.13-0.31],[0.14-0.36]
Alouatta_caraya,Nycticebus_coucang,0.042,[0.03-0.25],[0.01-0.22]
Ateles_geoffroyi,Nycticebus_coucang,0.219,[0.18-0.44],[0.01-0.22]
Callimico_goeldii,Nycticebus_coucang,0.134,[0.13-0.32],[0.01-0.22]
Callithrix_geoffroyi,Nycticebus_coucang,0.013,[0.02-0.22],[0.01-0.22]
Callithrix_jacchus,Nycticebus_coucang,0.059,[0.00-0.09],[0.01-0.22]
Cebuella_pygmaea,Nycticebus_coucang,0.014,[0.03-0.20],[0.01-0.22]
Cercopithecus_neglectus,Nycticebus_coucang,0.012,[0.01-0.19],[0.01-0.22]
Colobus_guereza,Nycticebus_coucang,0.02,[0.05-0.17],[0.01-0.22]
Eulemur_macaco,Nycticebus_coucang,0.217,[0.15-0.47],[0.01-0.22]
Galago_moholi,Nycticebus_coucang,0.01,[0.02-0.21],[0.01-0.22]
Galago_senegalensis,Nycticebus_coucang,0.068,[0.00-0.06],[0.01-0.22]
Gorilla_gorilla,Nycticebus_coucang,0.126,[0.12-0.31],[0.01-0.22]
Hylobates_lar,Nycticebus_coucang,0.076,[0.07-0.28],[0.01-0.22]
Lemur_catta,Nycticebus_coucang,0.072,[0.11-0.20],[0.01-0.22]
Leontopithecus_chrysomelas,Nycticebus_coucang,0.034,[0.04-0.22],[0.01-0.22]
Leontopithecus_rosalia,Nycticebus_coucang,0.039,[0.06-0.20],[0.01-0.22]
Macaca_fascicularis,Nycticebus_coucang,0.029,[0.00-0.14],[0.01-0.22]
Macaca_fuscata,Nycticebus_coucang,0.01,[0.02-0.19],[0.01-0.22]
Macaca_nigra,Nycticebus_coucang,0.056,[0.00-0.10],[0.01-0.22]
Macaca_silenus,Nycticebus_coucang,0.005,[0.03-0.16],[0.01-0.22]
Mandrillus_sphinx,Nycticebus_coucang,0.006,[0.02-0.18],[0.01-0.22]
Mico_argentatus,Nycticebus_coucang,0.033,[0.00-0.18],[0.01-0.22]
Microcebus_murinus,Nycticebus_coucang,0.162,[0.14-0.36],[0.01-0.22]
Nycticebus_coucang,Nycticebus_coucang,0,[0.01-0.22],[0.01-0.22]
Nycticebus_pygmaeus,Nycticebus_coucang,0.182,[0.15-0.39],[0.01-0.22]
